Area|Total household income|Tenure of household|Value|Flags
"Total, New Zealand by regional council"|"Total households, total household income"|"Total households, tenure of household"|1549890|
"Total, New Zealand by territorial authority"|"Total households, total household income"|"Total households, tenure of household"|1549890|
